,state,Actions Rewards
58,"([(14.0, 22.0), (1.0, 4.0)], 4, [(24.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
59,"([(1.0, 4.0), (9.0, 17.0)], 4, [(1.0, 4.0), (0, 7.0)], 3)",[-0.26136207 -0.25594467 -0.25861381]
60,"([(19.0, 22.0), (0, 2.0)], 4, [(19.0, 22.0), (4.0, 12.0)], 2)",[-214.18405919 -188.10953168  -93.66043795]
61,"([(19.0, 22.0), (6.0, 15.0)], 4, [(19.0, 22.0), (16.0, 24)], 2)",[-234.96625623 -239.04809986 -212.17845032]
62,"([(1.0, 4.0), (17.0, 24)], 4, [(1.0, 4.0), (7.0, 16.0)], 1)",[-0.84502437 -1.99443825 -2.12658605]
63,"([(1.0, 4.0), (6.0, 14.0)], 4, [(1.0, 4.0), (0, 4.0)], 1)",[-0.23221977 -0.23376528 -0.23385631]
64,"([(17.0, 24), (19.0, 22.0)], 4, [(7.0, 15.0), (19.0, 22.0)], 1)",[-0.36834852 -0.93115616 -0.66226908]
65,"([(0, 6.0), (1.0, 4.0)], 4, [(7.0, 16.0), (1.0, 4.0)], 1)",[-1.08965771 -0.84415036 -0.84459251]
66,"([(11.0, 19.0), (1.0, 4.0)], 4, [(21.0, 24), (1.0, 4.0)], 1)",[0. 0. 0.]
67,"([(19.0, 22.0), (1.0, 10.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1)",[-7.57548693 -7.2135599  -1.83925518]
68,"([(1.0, 4.0), (3.0, 12.0)], 4, [(1.0, 4.0), (0, 2.0)], 1)",[0. 0. 0.]
69,"([(1.0, 4.0), (5.0, 13.0)], 4, [(1.0, 4.0), (0, 3.0)], 1)",[-0.22610505 -0.22581133 -0.2262946 ]
70,"([(19.0, 22.0), (13.0, 21.0)], 4, [(19.0, 22.0), (23.0, 24)], 1)",[0. 0. 0.]
71,"([(18.0, 24), (19.0, 22.0)], 4, [(8.0, 16.0), (19.0, 22.0)], 1)",[-5.21253231 -0.85389424 -5.93194644]
72,"([(6.0, 15.0), (19.0, 22.0)], 4, [(0, 5.0), (19.0, 22.0)], 1)",[-0.23062042 -0.23485108 -0.2346271 ]
73,"([(1.0, 10.0), (1.0, 4.0)], 4, [(11.0, 20.0), (1.0, 4.0)], 1)",[-2.47140867 -2.75909392 -0.86540323]
74,"([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (11.0, 20.0)], 4)",[-0.54859707 -0.54541877 -0.54863462]
