,state,Actions Rewards
39,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (22.0, 24)], 0, [(1.0, 4.0), (12.0, 21.0)], 3))",[-284.12741348 -284.04891185 -287.04932183]
40,"(([(1.0, 4.0), (22.0, 24)], 1, [(1.0, 4.0), (12.0, 20.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-623.02519812 -635.97031579 -628.30943185]
41,"(([(19.0, 22.0), (3.0, 12.0)], 3, [(19.0, 22.0), (13.0, 22.0)], 1), ([(24.0, 24), (19.0, 22.0)], 1, [(14.0, 22.0), (19.0, 22.0)], 3))",[ 0.          0.         -0.01022512]
42,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (22.0, 24)], 1, [(1.0, 4.0), (12.0, 20.0)], 3))",[-570.14262303 -571.40092519 -578.81601165]
43,"(([(24.0, 24), (19.0, 22.0)], 1, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (3.0, 12.0)], 3, [(19.0, 22.0), (13.0, 22.0)], 1))",[  0. -50.   0.]
44,"(([(1.0, 4.0), (22.0, 24)], 0, [(1.0, 4.0), (12.0, 20.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-1689.07654139 -1825.07871735 -1847.11440618]
45,"(([(19.0, 22.0), (6.0, 14.0)], 3, [(19.0, 22.0), (16.0, 24)], 1), ([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3))",[ 0.          0.         -0.01424857]
46,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (22.0, 24)], 0, [(1.0, 4.0), (12.0, 20.0)], 3))",[-233.0961355  -229.81795238 -235.48783406]
47,"(([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (6.0, 14.0)], 3, [(19.0, 22.0), (16.0, 24)], 1))",[  0.   0. -50.]
48,"(([(19.0, 22.0), (8.0, 16.0)], 2, [(19.0, 22.0), (18.0, 24)], 1), ([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3))",[ 0.         -0.00753142  0.        ]
49,"(([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 16.0)], 2, [(19.0, 22.0), (18.0, 24)], 1))",[-50.   0.   0.]
50,"(([(1.0, 4.0), (21.0, 24)], 0, [(1.0, 4.0), (11.0, 20.0)], 3), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-1755.52550013 -1724.73453188 -1734.34892025]
51,"(([(19.0, 22.0), (8.0, 17.0)], 1, [(19.0, 22.0), (18.0, 24)], 1), ([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3))",[-13.20720909   0.           0.        ]
52,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (21.0, 24)], 0, [(1.0, 4.0), (11.0, 20.0)], 3))",[-772.52208187 -729.9521086  -733.48646511]
53,"(([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 1, [(19.0, 22.0), (18.0, 24)], 1))",[ -50.         -175.95912602    0.        ]
54,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3))",[-329.5564029  -324.54154182 -250.74514175]
55,"(([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-3699.80370671 -4356.95372892 -4368.01960986]
56,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 3))",[-1312.33323701 -1532.61542819 -1376.25467419]
57,"(([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-5565.86162268 -3947.04635389 -5604.78012562]
58,"(([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (23.0, 24)], 2, [(1.0, 4.0), (13.0, 22.0)], 2))",[-18.03365393 -50.65548809 -37.27366902]
59,"(([(1.0, 4.0), (23.0, 24)], 2, [(1.0, 4.0), (13.0, 22.0)], 2), ([(6.0, 15.0), (19.0, 22.0)], 0, [(0, 5.0), (19.0, 22.0)], 1))",[-41.25367858 -11.79170967 -11.56611952]
60,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 3))",[-226.26361858 -226.45566313 -227.85626462]
61,"(([(23.0, 24), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-1412.93576322 -1243.11377208 -1384.50155411]
62,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 21.0), (19.0, 22.0)], 3))",[-212.19788444 -215.87196219 -218.57108504]
63,"(([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 21.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-795.06129879 -952.00724834 -906.29255472]
64,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 20.0), (19.0, 22.0)], 3))",[-141.48673739 -149.04959976  -98.36668166]
65,"(([(22.0, 24), (19.0, 22.0)], 0, [(12.0, 20.0), (19.0, 22.0)], 3), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-1400.58168349 -1465.81824315 -1457.03094367]
66,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1), ([(23.0, 24), (19.0, 22.0)], 2, [(13.0, 21.0), (19.0, 22.0)], 2))",[-126.90929248 -127.64480258 -131.81615749]
67,"(([(23.0, 24), (19.0, 22.0)], 2, [(13.0, 21.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 1))",[-132.535832   -132.18474336 -123.41923193]
68,"(([(2.0, 10.0), (1.0, 4.0)], 0, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, -1.0)], 3, [(19.0, 22.0), (1.0, 9.0)], 2))",[  0. -50.   0.]
69,"(([(19.0, 22.0), (0, -1.0)], 3, [(19.0, 22.0), (1.0, 9.0)], 2), ([(2.0, 10.0), (1.0, 4.0)], 0, [(12.0, 20.0), (1.0, 4.0)], 1))",[ 0.          0.         -0.01204284]
70,"(([(6.0, 15.0), (1.0, 4.0)], 0, [(16.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 1.0)], 3, [(19.0, 22.0), (2.0, 11.0)], 2))",[-50.   0.   0.]
71,"(([(19.0, 22.0), (0, 1.0)], 3, [(19.0, 22.0), (2.0, 11.0)], 2), ([(6.0, 15.0), (1.0, 4.0)], 0, [(16.0, 24), (1.0, 4.0)], 1))",[ 0.         -0.01315139  0.        ]
72,"(([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (3.0, 11.0)], 2))",[  0. -50.   0.]
73,"(([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (3.0, 11.0)], 2), ([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1))",[-0.01082472  0.          0.        ]
74,"(([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2))",[-50.   0.   0.]
75,"(([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2), ([(8.0, 16.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1))",[ 0.         -0.01254238  0.        ]
76,"(([(8.0, 17.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (1.0, 10.0)], 2))",[-298.85651615 -194.16100861 -262.66522538]
77,"(([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (1.0, 10.0)], 2), ([(8.0, 17.0), (1.0, 4.0)], 0, [(18.0, 24), (1.0, 4.0)], 1))",[-188.86847154 -257.9927586  -253.27735132]
78,"(([(23.0, 24), (19.0, 22.0)], 1, [(13.0, 21.0), (19.0, 22.0)], 1), ([(19.0, 22.0), (4.0, 12.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 1))",[-0.01395237  0.          0.        ]
79,"(([(19.0, 22.0), (4.0, 12.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 1), ([(23.0, 24), (19.0, 22.0)], 1, [(13.0, 21.0), (19.0, 22.0)], 1))",[-0.01210313  0.          0.        ]
80,"(([(22.0, 24), (19.0, 22.0)], 1, [(12.0, 20.0), (19.0, 22.0)], 1), ([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (17.0, 24)], 1))",[ 0.          0.         -0.02059927]
81,"(([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (17.0, 24)], 1), ([(22.0, 24), (19.0, 22.0)], 1, [(12.0, 20.0), (19.0, 22.0)], 1))",[ 0.         -0.01012241  0.        ]
82,"(([(19.0, 22.0), (2.0, 11.0)], 0, [(19.0, 22.0), (12.0, 21.0)], 2), ([(24.0, 24), (19.0, 22.0)], 1, [(14.0, 23.0), (19.0, 22.0)], 2))",[  0.   0. -50.]
83,"(([(24.0, 24), (19.0, 22.0)], 1, [(14.0, 23.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (2.0, 11.0)], 0, [(19.0, 22.0), (12.0, 21.0)], 2))",[ 0.          0.         -0.01056682]
84,"(([(22.0, 24), (19.0, 22.0)], 2, [(12.0, 21.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (2.0, 11.0)], 0, [(19.0, 22.0), (12.0, 21.0)], 2))",[-34.12207775  -4.39824609   0.        ]
85,"(([(19.0, 22.0), (2.0, 11.0)], 0, [(19.0, 22.0), (12.0, 21.0)], 2), ([(22.0, 24), (19.0, 22.0)], 2, [(12.0, 21.0), (19.0, 22.0)], 2))",[-77.28119731 -50.           0.        ]
86,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (18.0, 24)], 2), ([(24.0, 24), (19.0, 22.0)], 0, [(14.0, 22.0), (19.0, 22.0)], 3))",[ -42.75      -110.9214993  -45.       ]
