,state,Actions Rewards
47,"(([(8.0, 16.0), (19.0, 22.0)], 3, [(3.0, 11.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (20.0, 24)], 0, [(1.0, 4.0), (19.0, 24)], 1))",[ 0.         -0.01203691  0.        ]
48,"(([(3.0, 11.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3))",[0. 0. 0.]
49,"(([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3), ([(3.0, 11.0), (19.0, 22.0)], 4, [(0, 3.0), (19.0, 22.0)], 1))",[-1.48388348  0.          0.        ]
50,"(([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
51,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 1))",[-1.49475286  0.          0.        ]
52,"(([(2.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 3))",[0. 0. 0.]
53,"(([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 3), ([(2.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1))",[-1.47951373  0.          0.        ]
54,"(([(1.0, 4.0), (2.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 3), ([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 2))",[0. 0. 0.]
55,"(([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (2.0, 10.0)], 4, [(1.0, 4.0), (0, 2.0)], 3))",[-1.49218376  0.          0.        ]
56,"(([(1.0, 4.0), (8.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 1), ([(0, 3.0), (1.0, 4.0)], 3, [(0, 8.0), (1.0, 4.0)], 1))",[-0.01999853  0.          0.        ]
57,"(([(0, 3.0), (1.0, 4.0)], 3, [(0, 8.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (8.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 1))",[-0.01770597  0.          0.        ]
58,"(([(22.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 1), ([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 2))",[-0.01402168  0.          0.        ]
59,"(([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 2), ([(22.0, 24), (19.0, 22.0)], 1, [(21.0, 24), (19.0, 22.0)], 1))",[-0.01384478  0.          0.        ]
60,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2), ([(19.0, 22.0), (0, 5.0)], 3, [(19.0, 22.0), (1.0, 10.0)], 2))",[-100.    0.    0.]
61,"(([(19.0, 22.0), (0, 5.0)], 3, [(19.0, 22.0), (1.0, 10.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2))",[-0.0137365  0.         0.       ]
62,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2), ([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2))",[-100.00063664    0.            0.        ]
63,"(([(19.0, 22.0), (0, 3.0)], 4, [(19.0, 22.0), (2.0, 11.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2))",[-0.01786498  0.          0.        ]
64,"(([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2), ([(19.0, 22.0), (0, 2.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2))",[-0.13499853  0.          0.        ]
65,"(([(19.0, 22.0), (0, 2.0)], 4, [(19.0, 22.0), (2.0, 10.0)], 2), ([(19.0, 22.0), (8.0, 17.0)], 0, [(19.0, 22.0), (9.0, 18.0)], 2))",[-3.04704008  0.          0.        ]
