,state,Actions Rewards
159,"([(19.0, 22.0), (9.0, 18.0)], 4, [(19.0, 22.0), (17.0, 24)], 1)",[-0.11375233 -0.11954788 -0.11473477]
160,"([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 3)",[-0.10735206 -0.10201956 -0.10490057]
161,"([(13.0, 21.0), (19.0, 22.0)], 4, [(5.0, 13.0), (19.0, 22.0)], 1)",[-0.29716755 -0.30561542 -0.30498555]
162,"([(0, 7.0), (1.0, 4.0)], 4, [(6.0, 15.0), (1.0, 4.0)], 1)",[-0.69584423 -0.6895695  -0.6941834 ]
163,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 4)",[-0.80017279 -0.80168612 -0.79465429]
164,"([(1.0, 4.0), (13.0, 21.0)], 4, [(1.0, 4.0), (5.0, 13.0)], 4)",[-0.4305222  -0.42326506 -0.42311637]
165,"([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 4)",[0. 0. 0.]
166,"([(0, 2.0), (1.0, 4.0)], 4, [(2.0, 10.0), (1.0, 4.0)], 2)",[-1.30511432 -3.01852503 -1.84844664]
167,"([(1.0, 4.0), (12.0, 20.0)], 4, [(1.0, 4.0), (4.0, 12.0)], 1)",[-0.39754806 -0.39773756 -0.3968978 ]
168,"([(4.0, 13.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1)",[-0.05987232 -0.06307528 -0.06922903]
169,"([(20.0, 24), (19.0, 22.0)], 4, [(12.0, 20.0), (19.0, 22.0)], 1)",[-0.71547318 -0.7180243  -0.71653045]
170,"([(11.0, 19.0), (19.0, 22.0)], 4, [(3.0, 11.0), (19.0, 22.0)], 1)",[-0.35687701 -0.35826463 -0.35696329]
171,"([(2.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1)",[0. 0. 0.]
172,"([(1.0, 4.0), (13.0, 21.0)], 4, [(1.0, 4.0), (5.0, 13.0)], 1)",[-0.583721   -0.56703912 -0.59257171]
173,"([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (0, 8.0)], 2)",[ -8.42488212  -1.5332987  -10.40383207]
174,"([(19.0, 22.0), (4.0, 13.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 2)",[-0.23893836 -1.21609487 -0.36398889]
175,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (12.0, 20.0)], 3)",[-0.51859476 -0.52351369 -0.51797591]
176,"([(19.0, 22.0), (5.0, 13.0)], 4, [(19.0, 22.0), (13.0, 21.0)], 1)",[-3.15326942 -0.71968712 -0.43134346]
177,"([(1.0, 4.0), (24.0, 24)], 4, [(1.0, 4.0), (16.0, 24)], 3)",[-0.82909021 -0.88036202 -0.87833549]
178,"([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (3.0, 11.0)], 3)",[-0.16672855 -0.17981167 -0.17454289]
179,"([(2.0, 10.0), (1.0, 4.0)], 4, [(10.0, 18.0), (1.0, 4.0)], 1)",[-0.28672582 -0.29746257 -0.30349265]
180,"([(0, 1.0), (1.0, 4.0)], 4, [(1.0, 9.0), (1.0, 4.0)], 2)",[-3.79590418 -4.11194742 -5.29875591]
181,"([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1)",[-0.83042198 -0.8280328  -0.82864387]
182,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 1)",[-0.896466   -0.89574584 -0.89460059]
183,"([(6.0, 14.0), (1.0, 4.0)], 4, [(14.0, 22.0), (1.0, 4.0)], 1)",[-5.20741087 -0.27169896 -0.27548571]
184,"([(19.0, 22.0), (0, -1.0)], 0, [(19.0, 22.0), (0, 1.0)], 1)",[ -10.04670187 -644.67270008 -667.09273716]
185,"([(19.0, 22.0), (0, 0.0)], 1, [(19.0, 22.0), (0, 2.0)], 1)",[  -0.92799794 -185.49678977   -0.93117831]
186,"([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 2)",[-0.57177899 -1.22284658 -0.57927315]
187,"([(19.0, 22.0), (0, 0.0)], 0, [(19.0, 22.0), (0, 2.0)], 1)",[-1177.90231199 -1168.91622421 -1217.90861689]
188,"([(1.0, 4.0), (15.0, 24)], 4, [(1.0, 4.0), (7.0, 16.0)], 2)",[-0.42192221 -0.42647169 -0.42452106]
