,state,Actions Rewards
46,"(([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 2), ([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 2))",[0. 0. 0.]
47,"(([(1.0, 4.0), (21.0, 24)], 4, [(1.0, 4.0), (13.0, 21.0)], 2), ([(8.0, 17.0), (19.0, 22.0)], 4, [(0, 9.0), (19.0, 22.0)], 2))",[0. 0. 0.]
48,"(([(1.0, 4.0), (7.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 3), ([(0, 1.0), (1.0, 4.0)], 4, [(0, 9.0), (1.0, 4.0)], 2))",[0. 0. 0.]
49,"(([(0, 1.0), (1.0, 4.0)], 4, [(0, 9.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (7.0, 15.0)], 4, [(1.0, 4.0), (0, 7.0)], 3))",[-0.03636845  0.          0.        ]
50,"(([(1.0, 4.0), (2.0, 11.0)], 4, [(1.0, 4.0), (0, 3.0)], 2), ([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 1))",[0. 0. 0.]
51,"(([(0, -1.0), (1.0, 4.0)], 4, [(0, 7.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (2.0, 11.0)], 4, [(1.0, 4.0), (0, 3.0)], 2))",[0. 0. 0.]
52,"(([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 3), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
53,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (10.0, 19.0)], 4, [(1.0, 4.0), (2.0, 11.0)], 3))",[-0.03401425  0.          0.        ]
54,"(([(1.0, 4.0), (4.0, 12.0)], 4, [(1.0, 4.0), (0, 4.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
55,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (4.0, 12.0)], 4, [(1.0, 4.0), (0, 4.0)], 1))",[-0.31397225 -0.31503276 -0.31622598]
56,"(([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (3.0, 11.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1))",[-0.01447249  0.          0.        ]
57,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (11.0, 19.0)], 4, [(1.0, 4.0), (3.0, 11.0)], 1))",[-0.01492673  0.          0.        ]
58,"(([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 2), ([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3))",[0. 0. 0.]
59,"(([(1.0, 4.0), (22.0, 24)], 4, [(1.0, 4.0), (14.0, 22.0)], 3), ([(10.0, 18.0), (19.0, 22.0)], 4, [(2.0, 10.0), (19.0, 22.0)], 2))",[-0.03169814  0.          0.        ]
60,"(([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 5.0), (19.0, 22.0)], 2), ([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 3))",[0. 0. 0.]
61,"(([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 3), ([(5.0, 13.0), (19.0, 22.0)], 4, [(0, 5.0), (19.0, 22.0)], 2))",[-0.11425398 -0.10929857 -0.12720828]
62,"(([(5.0, 13.0), (1.0, 4.0)], 4, [(13.0, 21.0), (1.0, 4.0)], 2), ([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (0, 7.0)], 2))",[0. 0. 0.]
63,"(([(19.0, 22.0), (0, -1.0)], 4, [(19.0, 22.0), (0, 7.0)], 2), ([(5.0, 13.0), (1.0, 4.0)], 4, [(13.0, 21.0), (1.0, 4.0)], 2))",[0. 0. 0.]
64,"(([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (1.0, 9.0)], 2), ([(4.0, 13.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1))",[-0.23406252 -0.36886006 -1.27848372]
65,"(([(4.0, 13.0), (1.0, 4.0)], 4, [(12.0, 21.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 1.0)], 4, [(19.0, 22.0), (1.0, 9.0)], 2))",[0. 0. 0.]
66,"(([(19.0, 22.0), (4.0, 13.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 1), ([(22.0, 24), (19.0, 22.0)], 2, [(20.0, 24), (19.0, 22.0)], 2))",[-0.01160613  0.          0.        ]
67,"(([(22.0, 24), (19.0, 22.0)], 2, [(20.0, 24), (19.0, 22.0)], 2), ([(19.0, 22.0), (4.0, 13.0)], 4, [(19.0, 22.0), (12.0, 21.0)], 1))",[-0.01137125  0.          0.        ]
68,"(([(19.0, 24), (19.0, 22.0)], 3, [(14.0, 23.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (7.0, 16.0)], 3, [(19.0, 22.0), (12.0, 21.0)], 1))",[-0.01325619  0.          0.        ]
69,"(([(19.0, 22.0), (7.0, 16.0)], 3, [(19.0, 22.0), (12.0, 21.0)], 1), ([(19.0, 24), (19.0, 22.0)], 3, [(14.0, 23.0), (19.0, 22.0)], 2))",[-0.01766297  0.          0.        ]
70,"(([(15.0, 23.0), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1))",[-50.   0.   0.]
71,"(([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1), ([(15.0, 23.0), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 2))",[-0.01275383  0.          0.        ]
72,"(([(15.0, 23.0), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 1))",[-168.60523605 -134.37447208 -133.47423175]
73,"(([(19.0, 22.0), (7.0, 15.0)], 3, [(19.0, 22.0), (12.0, 20.0)], 1), ([(15.0, 23.0), (19.0, 22.0)], 0, [(13.0, 21.0), (19.0, 22.0)], 2))",[-77.21230039 -88.89268347 -88.13638072]
74,"(([(18.0, 24), (19.0, 22.0)], 2, [(16.0, 24), (19.0, 22.0)], 2), ([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1))",[-0.01036213  0.          0.        ]
75,"(([(19.0, 22.0), (3.0, 12.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 1), ([(18.0, 24), (19.0, 22.0)], 2, [(16.0, 24), (19.0, 22.0)], 2))",[-0.01282889  0.          0.        ]
76,"(([(16.0, 24), (19.0, 22.0)], 2, [(14.0, 23.0), (19.0, 22.0)], 2), ([(19.0, 22.0), (6.0, 15.0)], 3, [(19.0, 22.0), (11.0, 20.0)], 1))",[-0.01119778  0.          0.        ]
77,"(([(19.0, 22.0), (6.0, 15.0)], 3, [(19.0, 22.0), (11.0, 20.0)], 1), ([(16.0, 24), (19.0, 22.0)], 2, [(14.0, 23.0), (19.0, 22.0)], 2))",[-0.0118217  0.         0.       ]
78,"(([(15.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 2), ([(23.0, 24), (19.0, 22.0)], 0, [(21.0, 24), (19.0, 22.0)], 3))",[-50.         -70.07078581   0.        ]
79,"(([(23.0, 24), (19.0, 22.0)], 0, [(21.0, 24), (19.0, 22.0)], 3), ([(15.0, 24), (19.0, 22.0)], 0, [(13.0, 22.0), (19.0, 22.0)], 2))",[ -50.         -121.22550628    0.        ]
80,"(([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2), ([(22.0, 24), (19.0, 22.0)], 1, [(20.0, 24), (19.0, 22.0)], 1))",[-20.3892777   -3.43802048 -19.12878676]
81,"(([(22.0, 24), (19.0, 22.0)], 1, [(20.0, 24), (19.0, 22.0)], 1), ([(19.0, 22.0), (6.0, 14.0)], 4, [(19.0, 22.0), (14.0, 22.0)], 2))",[ -1.87395335 -50.00403739  -1.07267148]
82,"(([(19.0, 22.0), (0, 7.0)], 2, [(19.0, 22.0), (0, 9.0)], 2), ([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1))",[-0.01291509  0.          0.        ]
83,"(([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 7.0)], 2, [(19.0, 22.0), (0, 9.0)], 2))",[-0.01280977  0.          0.        ]
84,"(([(19.0, 22.0), (0, 7.0)], 1, [(19.0, 22.0), (1.0, 9.0)], 2), ([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1))",[-53.12973262   0.           0.        ]
85,"(([(7.0, 15.0), (1.0, 4.0)], 3, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 7.0)], 1, [(19.0, 22.0), (1.0, 9.0)], 2))",[-2.26013626  0.          0.        ]
86,"(([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2))",[0. 0. 0.]
87,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 2), ([(1.0, 4.0), (4.0, 13.0)], 4, [(1.0, 4.0), (0, 5.0)], 1))",[-0.2515749  -0.27067045 -0.27510407]
88,"(([(19.0, 22.0), (1.0, 9.0)], 2, [(19.0, 22.0), (3.0, 11.0)], 1), ([(6.0, 15.0), (1.0, 4.0)], 3, [(11.0, 20.0), (1.0, 4.0)], 1))",[-0.01097625  0.          0.        ]
89,"(([(6.0, 15.0), (1.0, 4.0)], 3, [(11.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (1.0, 9.0)], 2, [(19.0, 22.0), (3.0, 11.0)], 1))",[-2.26269725  0.          0.        ]
90,"(([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1), ([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 4))",[0. 0. 0.]
91,"(([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 4), ([(1.0, 10.0), (19.0, 22.0)], 4, [(0, 2.0), (19.0, 22.0)], 1))",[-0.1166901  -0.10280437 -0.11719213]
92,"(([(1.0, 4.0), (7.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 1), ([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1))",[0. 0. 0.]
93,"(([(0, 0.0), (1.0, 4.0)], 4, [(0, 8.0), (1.0, 4.0)], 1), ([(1.0, 4.0), (7.0, 16.0)], 4, [(1.0, 4.0), (0, 8.0)], 1))",[0. 0. 0.]
94,"(([(19.0, 22.0), (0, 5.0)], 2, [(19.0, 22.0), (0, 7.0)], 1), ([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1))",[-0.01401588 -0.01076266  0.        ]
95,"(([(4.0, 12.0), (1.0, 4.0)], 4, [(12.0, 20.0), (1.0, 4.0)], 1), ([(19.0, 22.0), (0, 5.0)], 2, [(19.0, 22.0), (0, 7.0)], 1))",[-0.0119965  -0.01285132  0.        ]
