,state,Actions Rewards
107,"([(1.0, 4.0), (4.0, 14.0)], 4, [(1.0, 4.0), (4.0, 14.0)], 1)",[0. 0. 0.]
108,"([(1.0, 4.0), (22.0, 24)], 3, [(1.0, 4.0), (22.0, 24)], 2)",[3.13136595 1.80445116 0.        ]
109,"([(1.0, 4.0), (19.0, 24)], 3, [(1.0, 4.0), (19.0, 24)], 2)",[-0.02208133  0.         -0.02484948]
110,"([(1.0, 4.0), (15.0, 24)], 4, [(1.0, 4.0), (15.0, 24)], 2)",[-0.30839553 -0.31819363 -0.29423743]
111,"([(1.0, 4.0), (11.0, 20.0)], 4, [(1.0, 4.0), (11.0, 20.0)], 2)",[-0.18114251 -0.18000078 -0.148234  ]
112,"([(19.0, 22.0), (0, 1.0)], 2, [(19.0, 22.0), (0, 1.0)], 1)",[1.21900902 2.58513709 0.39699728]
113,"([(1.0, 4.0), (6.0, 16.0)], 4, [(1.0, 4.0), (6.0, 16.0)], 2)",[-0.06323851 -0.13209549 -0.06846379]
114,"([(19.0, 22.0), (0, 3.0)], 3, [(19.0, 22.0), (0, 3.0)], 1)",[-0.01360946 -0.01357821 -0.0354557 ]
115,"([(1.0, 4.0), (1.0, 11.0)], 4, [(1.0, 4.0), (1.0, 11.0)], 2)",[0. 0. 0.]
116,"([(19.0, 22.0), (0, 6.0)], 3, [(19.0, 22.0), (0, 6.0)], 1)",[-0.04541212 -0.01332605 -0.03441475]
117,"([(1.0, 4.0), (24.0, 24)], 3, [(1.0, 4.0), (24.0, 24)], 2)",[10.42761673 11.88662982  6.01464952]
118,"([(1.0, 4.0), (20.0, 24)], 3, [(1.0, 4.0), (20.0, 24)], 2)",[-0.14106054 -0.10958456 -0.08855095]
119,"([(19.0, 22.0), (4.0, 13.0)], 4, [(19.0, 22.0), (4.0, 13.0)], 1)",[-0.01692862 -0.04702117  0.        ]
120,"([(1.0, 4.0), (17.0, 24)], 4, [(1.0, 4.0), (17.0, 24)], 2)",[-0.19479808 -0.12879459 -0.17813805]
121,"([(19.0, 22.0), (8.0, 18.0)], 4, [(19.0, 22.0), (8.0, 18.0)], 1)",[ 0.         -0.01978324 -0.00646661]
122,"([(1.0, 4.0), (12.0, 22.0)], 4, [(1.0, 4.0), (12.0, 22.0)], 2)",[-0.06777491 -0.11619185 -0.06965575]
123,"([(19.0, 22.0), (13.0, 23.0)], 4, [(19.0, 22.0), (13.0, 23.0)], 1)",[0. 0. 0.]
124,"([(1.0, 4.0), (8.0, 17.0)], 4, [(1.0, 4.0), (8.0, 17.0)], 2)",[-0.1607458  -0.19644512 -0.15850528]
125,"([(19.0, 22.0), (0, 0.0)], 3, [(19.0, 22.0), (0, 0.0)], 2)",[11.50335912  9.97302564 10.22876781]
126,"([(1.0, 4.0), (3.0, 12.0)], 4, [(1.0, 4.0), (3.0, 12.0)], 2)",[0. 0. 0.]
127,"([(19.0, 22.0), (0, 4.0)], 4, [(19.0, 22.0), (0, 4.0)], 2)",[-0.33048197 -0.39079462 -0.36218407]
128,"([(19.0, 22.0), (0, 8.0)], 4, [(19.0, 22.0), (0, 8.0)], 2)",[-0.21306279 -0.17735845 -0.24907887]
129,"([(19.0, 22.0), (4.0, 13.0)], 4, [(19.0, 22.0), (4.0, 13.0)], 2)",[-0.11580208 -0.15198778 -0.11187322]
130,"([(1.0, 4.0), (20.0, 24)], 4, [(1.0, 4.0), (20.0, 24)], 2)",[1.41466126 1.51199082 3.04142609]
131,"([(1.0, 4.0), (16.0, 24)], 4, [(1.0, 4.0), (16.0, 24)], 2)",[-0.16680232 -0.24807049 -0.1679017 ]
132,"([(19.0, 22.0), (9.0, 18.0)], 4, [(19.0, 22.0), (9.0, 18.0)], 2)",[-0.03007246  0.          0.        ]
133,"([(1.0, 4.0), (5.0, 15.0)], 4, [(1.0, 4.0), (5.0, 15.0)], 2)",[-0.02014646 -0.05639176  0.        ]
134,"([(19.0, 22.0), (0, 0.0)], 4, [(19.0, 22.0), (0, 0.0)], 2)",[11.08552993 10.27577497 11.07668992]
135,"([(19.0, 22.0), (0, 5.0)], 4, [(19.0, 22.0), (0, 5.0)], 2)",[-0.23498091 -0.2006611  -0.23886139]
136,"([(19.0, 22.0), (0, 9.0)], 4, [(19.0, 22.0), (0, 9.0)], 2)",[-0.2266013  -0.32049998 -0.28791877]
137,"([(1.0, 4.0), (23.0, 24)], 4, [(1.0, 4.0), (23.0, 24)], 2)",[11.57282001 10.99407064 11.09047602]
138,"([(1.0, 4.0), (19.0, 24)], 4, [(1.0, 4.0), (19.0, 24)], 2)",[ 0.98153754  0.32587574 -0.417982  ]
139,"([(19.0, 22.0), (5.0, 15.0)], 4, [(19.0, 22.0), (5.0, 15.0)], 2)",[-0.09563304 -0.10023948 -0.07556293]
140,"([(1.0, 4.0), (14.0, 23.0)], 4, [(1.0, 4.0), (14.0, 23.0)], 2)",[-0.2750119  -0.2468991  -0.26359003]
141,"([(19.0, 22.0), (11.0, 20.0)], 4, [(19.0, 22.0), (11.0, 20.0)], 2)",[0. 0. 0.]
142,"([(1.0, 4.0), (9.0, 18.0)], 4, [(1.0, 4.0), (9.0, 18.0)], 2)",[-0.19202338 -0.20462425 -0.1995764 ]
143,"([(1.0, 4.0), (3.0, 13.0)], 4, [(1.0, 4.0), (3.0, 13.0)], 2)",[0. 0. 0.]
144,"([(19.0, 22.0), (10.0, 19.0)], 4, [(19.0, 22.0), (10.0, 19.0)], 2)",[0. 0. 0.]
145,"([(1.0, 4.0), (11.0, 21.0)], 4, [(1.0, 4.0), (11.0, 21.0)], 2)",[-0.12024364 -0.05915105 -0.04469562]
146,"([(23.0, 24), (19.0, 22.0)], 2, [(23.0, 24), (19.0, 22.0)], 1)",[1.53767294 1.87151686 4.57625779]
147,"([(21.0, 24), (19.0, 22.0)], 2, [(21.0, 24), (19.0, 22.0)], 1)",[-0.02218442 -0.03684891 -0.05508442]
